monday0900,A
monday1000,A
monday1000,B
monday1200,A
monday1200,B
monday1300,A
monday1300,B
monday1400,A
monday1600,A
monday1700,A
tuesday0900,A
tuesday1000,A
tuesday1100,A
tuesday1200,A
tuesday1200,B
tuesday1400,B
tuesday1500,B
tuesday1600,B
tuesday1700,B
wednesday1000,A
wednesday1000,B
wednesday1100,A
wednesday1100,B
wednesday1300,A
wednesday1300,B
wednesday1400,A
wednesday1400,B
wednesday1500,A
wednesday1500,B
wednesday1600,A
wednesday1600,B
thursday0900,B
thursday1000,B
thursday1400,A
thursday1500,A
friday0900,B
friday1000,B
friday1100,A
friday1100,B